Ingredient,teaspoon,tablespoon,cup,large,large head,ounces,grams
'00' Pizza Flour,48,16,1,,,4,116
Agave syrup,12,4,1/4,,,3,84
All-Purpose Baking Mix,48,16,1,,,4 1/4,120
All-Purpose Flour,48,16,1,,,4 1/4,120
Almond butter,12,4,1/4,,,2 1/3,68
Almond Flour,48,16,1,,,3 3/8,96
Almond meal,48,16,1,,,3,84
Almond paste (packed),48,16,1,,,9 1/8,259
Almonds (sliced),24,8,1/2,,,1 1/2,43
Almonds (slivered),24,8,1/2,,,2,57
Almonds whole (unblanched),48,16,1,,,5,142
Amaranth flour,48,16,1,,,3 5/8,103
Apple juice concentrate,12,4,1/4,,,2 1/2,70
Apples (dried diced),48,16,1,,,3,85
Apples (peeled sliced),48,16,1,,,4,113
Applesauce,48,16,1,,,9,255
Apricots (dried diced),24,8,1/2,,,2 1/4,64
Artisan Bread Flour,48,16,1,,,4 1/4,120
Artisan Bread Topping,12,4,1/4,,,1 1/2,43
Baker's Cinnamon Filling,48,16,1,,,5 3/8,152
Baker's Fruit Blend,48,16,1,,,4 1/2,128
Baker's Special Sugar (superfine/castor sugar),48,16,1,,,6 3/4,190
Baking powder,1,1/3,1/48,,,1/8,4
Baking soda,1/2,1/6,1/64,,,1/10,3
Baking Sugar Alternative,48,16,1,,,6,170
Bananas (mashed),48,16,1,,,8,227
Barley (cooked),48,16,1,,,7 5/8,215
Barley (pearled),48,16,1,,,7 1/2,213
Barley flakes,24,8,1/2,,,1 5/8,46
Barley flour,48,16,1,,,3,85
Barley malt syrup,6,2,1/8,,,1 1/2,42
Basil pesto,6,2,1/8,,,1,28
Bell peppers (fresh),48,16,1,,,5,142
Berries (frozen),48,16,1,,,5,142
Better Cheddar Cheese Powder,24,8,1/2,,,2,57
Blueberries (dried),48,16,1,,,5 1/2,156
Blueberries (fresh or frozen),48,16,1,,,5 to 6,140 to 170
Blueberry juice,48,16,1,,,8 1/2,241
Boiled cider,12,4,1/4,,,3,85
Bran cereal,48,16,1,,,2 1/8,60
